DeltariSeglingCtr,DeltariRegistrerandeKrets,DeltariFNDeltagare,DeltariFNSegling,DeltariSkipperGastqq,DeltariFNSkipperGast
2703,"Stockholm",1044,1859,,2
2704,"Stockholm",1050,1860,,2
2705,"Stockholm",126,1861,,2
2706,"Stockholm",987,1862,,2
2708,"Stockholm",974,1864,,2
2709,"Stockholm",1047,1865,,2
2710,"Stockholm",1045,1866,,2
2711,"Stockholm",135,1867,,2
2712,"Stockholm",924,1868,,2
2713,"Stockholm",1004,1869,,2
2714,"Stockholm",54,1870,,2
2715,"Stockholm",7,1871,,2
2716,"Stockholm",1048,1872,,2
2717,"Stockholm",249,1873,,2
2718,"Stockholm",142,1874,,2
2719,"Stockholm",22,1875,,2
2720,"Stockholm",52,1876,,2
2721,"Stockholm",656,1877,,2
2722,"Stockholm",29,1878,,2
2723,"Stockholm",889,1879,,2
2724,"Stockholm",435,1880,,2
2725,"Stockholm",72,1881,,2
2726,"Stockholm",244,1882,,2
2727,"Stockholm",151,1883,,2
2728,"Stockholm",754,1884,,2
2729,"Stockholm",166,1885,,2
2730,"Stockholm",840,1886,,2
2731,"Stockholm",1046,1887,,2
2732,"Stockholm",472,1888,,2
2733,"Stockholm",475,1889,,2
2734,"Stockholm",1012,1890,,2
2735,"Stockholm",706,1891,,2
2736,"Stockholm",14,1892,,2
2737,"Stockholm",1000,1893,,2
2738,"Stockholm",759,1894,,2
2740,"Stockholm",806,1896,,2
2741,"Stockholm",37,1897,,2
2742,"Stockholm",53,1898,,2
2743,"Stockholm",160,1899,,2
2744,"Stockholm",1052,1858,,1
2745,"Stockholm",1056,1858,,1
2746,"Stockholm",1057,1858,,1
2747,"Stockholm",1062,1862,,1
2748,"Stockholm",1032,1863,,1
2749,"Stockholm",1033,1863,,1
2750,"Stockholm",1034,1863,,1
2751,"Stockholm",1060,1865,,1
2752,"Stockholm",136,1867,,1
2753,"Stockholm",981,1867,,1
2754,"Stockholm",21,1867,,1
2755,"Stockholm",673,1868,,1
2756,"Stockholm",614,1870,,1
2757,"Stockholm",1053,1876,,1
2758,"Stockholm",536,1876,,1
2759,"Stockholm",1054,1876,,1
2760,"Stockholm",805,1881,,1
2761,"Stockholm",1055,1881,,1
2762,"Stockholm",1058,1882,,1
2764,"Stockholm",912,1886,,1
2765,"Stockholm",1059,1886,,1
2766,"Stockholm",1018,1892,,1
2767,"Stockholm",899,1892,,1
2768,"Stockholm",723,1892,,1
