BoatNr,BoatTyp,BoatSxkTal
384,"Dufour 34E Performance",1.3000000000000000e+00
385,"Bavaria 30 Cruiser 670",1.1100000000000001e+00
387,,0.0000000000000000e+00
389,"Bavaria 30 Cr. E6234",1.1100000000000001e+00
390,"Engelsk kutter",1.0200000000000000e+00
391,"Najad 405 E6205",1.1599999999999999e+00
392,"Skuta Ellen",1.2200000000000000e+00
393,"Hajkutter",1.1200000000000001e+00
394,"Essex Smack",9.4999999999999996e-01
395,"Sun Odyssey 37",1.1799999999999999e+00
396,"Vedjakt",1.5200000000000000e+00
397,"Yacht",1.3000000000000000e+00
86,"Linjett 32 MH",1.1200000000000001e+00
207,"First 35,5",1.1799999999999999e+00
146,"Cayenne Int",1.2860000000000000e+00
84,"S 30",1.1910000000000001e+00
214,"Sky Sail 28 24",1.0400000000000000e+00
225,"Wasa 38 Cr",1.2300000000000000e+00
122,"X-372 7/8",1.2600000000000000e+00
270,"Swedestar 370",1.2980000000000000e+00
275,"Dufour 40 HR",1.3200000000000001e+00
300,"C 40",1.2200000000000000e+00
187,"Albin 78 Cirrus",1.0400000000000000e+00
9,"Compis",1.0569999999999999e+00
342,"C & C 39 Mk1",1.2400000000000000e+00
250,"X-362 Sport",1.2900000000000000e+00
324,"Nordisk Folkbåt",9.6799999999999997e-01
199,"Bavaria 36 CR 01-05",1.1850000000000001e+00
314,"Bavaria 38CR",1.2000000000000000e+00
56,"Bavaria 31 C",1.1200000000000001e+00
386,"Sw Yachts 340 E6271",1.1399999999999999e+00
388,"Dehler 34 Cr. E4582 UUS",1.1940000000000000e+00
