BoatIndNr,BoatIndFNBoattyp,BoatIndNamn,BoatIndParmNr,BoatIndVHF,BoatIndMobil
225,128,"Tin Tin 4","419",,
227,5,"Vågspel","30",,
229,70,"Frida","5985",,
232,42,"Cima","36",,
234,130,"Soleil","19",,
236,131,"Wind Lady","128",,
237,26,"Tristan","650",,
238,18,"Remiga","230",,
239,66,"Vindnes 4","44",,
240,132,"Josefina III","233",,
241,133,"Yggdrasil","20",,
242,65,"Feria","384",,
244,135,"Festina Lente","2994",,
246,137,"Mama Mia II","67",,
247,48,"Solvända","2256",,
248,138,"Edansu II","147",,
249,22,"Aqualeja","9374",,
250,139,"Johanna","571",,
251,12,"Joker","487",,
252,55,"Puella","129",,
254,141,"Allex","9738",,
256,142,"Havsfrun","241",,
258,143,"Aloe","9793",,
259,102,"Inka III","314",,
260,10,"Channa","44",,
261,12,"Karolina","811",,
262,3,"Cetus","1055",,
264,144,"Pegasus","29",,
265,3,"Mika III","3079",,
266,3,"Dozzan","1181",,
267,11,"Fantasia","9889",,
268,5,"Lura","484",,
271,4,"Maritim","3358",,
272,36,"Alfa-Omega","202",,
273,164,"Aloe","9702",,
274,26,"Alone","163",,
275,40,"Amanda","7349",,
276,11,"Amica","8628",,
277,86,"Amorina","8604",,
278,38,"Aphrodite","191",,
279,22,"Aqualeja","9374",,
280,132,"Arioso","185",,
281,132,"Atlanta","92",,
282,41,"Aurora","36",,
283,26,"Bagheera","2391",,
284,87,"Ballerina","1219",,
285,9,"Barahdijn","119",,
287,87,"Blue Bird","38",,
289,172,"Bodega","65",,
290,178,"Bombibitte","2",,
291,19,"Bounty II","0",,
292,166,"Calypso","263",,
293,169,"Candida","6183",,
294,21,"Carisma","183",,
295,3,"Caroline","2337",,
297,87,"Chance 2","1428",,
300,163,"Chanita","235",,
303,179,"Christina","8851",,
304,147,"C-Nita","55",,
307,173,"Condmore","5",,
308,145,"Corona","5",,
309,87,"Corona Blue","520",,
310,25,"Daga II","80",,
311,162,"Dame","529",,
313,180,"D'Amour","309",,
315,12,"Elan","376",,
316,84,"Elixir","290",,
317,59,"Elle","50",,
318,144,"Evelina","16",,
319,78,"Evita","992",,
320,65,"Farmor","226",,
321,16,"Femman","3689",,
322,124,"Festina Lente","307",,
323,5,"Fifty Fifty","128",,
325,155,"First Jolie","0",,
326,9,"Friendship","342",,
327,138,"Fröja II","7747",,
328,157,"Fågel Blå","58",,
329,4,"Gabriella","3353",,
330,127,"Galanta","45",,
331,153,"Galina","816",,
660,216,"Skoja","58",,
662,3,"Habibi","0",,
664,1,"Fiona","56",,
666,5,"Mistral","185",,
667,10,"Charlotta","1",,
668,291,"Euphori","4",,
333,37,"Gomorronsol","148",,
334,146,"Gonzo","43",,
335,19,"Gorm","602",,
337,181,"Habiba 1","40",,
338,5,"Havanna","65",,
339,151,"Hera Tre","60",,
340,160,"Hermione","215",,
343,51,"Holmgång","115",,
344,149,"Isabella 2","2766",,
345,38,"Jajja","320",,
346,98,"Jenta","84",,
347,158,"Jolanna 2","59",,
348,180,"Jolie Mome 2","125",,
349,152,"Jorina","119",,
350,52,"Juniper","14",,
351,167,"Kaina","17",,
352,87,"Kalemera","469",,
353,160,"Konstantina","219",,
354,176,"La` Folie","7633",,
355,10,"La Mouette","51",,
356,128,"Lady Begood","556",,
357,9,"Lilly Teresia","124",,
358,12,"Linda","27",,
359,12,"Linda","351",,
360,48,"Linnéa","2273",,
361,165,"Lorelei","5",,
362,31,"Lovinda","288",,
363,170,"Magnolia","6416",,
364,48,"Matai","2817",,
365,119,"Medoc 3","2",,
367,5,"Mia","52",,
368,132,"Mioma 2","206",,
369,4,"Moonshine","3329",,
370,18,"Morosa","816",,
371,37,"My Lady","32",,
372,177,"Nasya","14",,
373,3,"Nice Too","2694",,
375,182,"Noatun","0",,
376,57,"Nonstop 3","58",,
377,171,"O' Stressa","2308",,
389,38,"Ofelia","190",,
390,174,"Olivia","48",,
392,184,"Osqulda","139",,
395,185,"Ottilia","189",,
396,181,"Pandion","270",,
397,5,"Partner","61",,
398,36,"Pearl","165",,
399,148,"Pippi II","80",,
400,9,"Plunsan","39",,
401,116,"Poem","0",,
402,70,"Raindancer","8201",,
403,27,"Ronja","20",,
404,48,"Ruggi-Muffin","128",,
405,84,"Saltstänktaberg","85",,
406,170,"Sambal","6420",,
407,180,"Sea-Sun","258",,
409,186,"See Sea","8405",,
410,5,"Seila","12",,
411,98,"Sesam","48",,
413,187,"Siesta","378",,
414,39,"Sirene","473",,
415,10,"Sofie","49",,
416,58,"Solitaire","8",,
417,87,"Sunshine","1162",,
418,119,"Superkexet","4",,
419,31,"Susanne","173",,
420,48,"Svalan","1731",,
421,16,"Svanen","7039",,
423,26,"Teresa 2","2324",,
424,175,"Tessan","94",,
425,84,"Tigrib II","263",,
426,48,"Till","1575",,
427,9,"Tone","162",,
428,154,"Trine","4874",,
429,31,"Trut","4527",,
431,188,"Waikiki","230",,
432,187,"Vavaú","96",,
