SeglingFNStart,SeglingStartDag,SeglingStartTid,SeglingPeriod,StartDagCtr,StartVeckodag,StartDag,StartAr,StartVH,StartFNTid,UrvalStartTid,TmpRegatta,TmpOrganizer,TmpRace,TmpRegattaName
210,06/03/15 00:00:00,12:00-16:30,72,210,Ons,06/03/15 00:00:00,2015,V,5,12:00-16:30,Sthlm-2015V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2015 i Stockholm
213,06/07/15 00:00:00,07:00-07:30,12,213,Sön,06/07/15 00:00:00,2015,V,3,07:00-07:30,Sthlm-2015V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2015 i Stockholm
214,06/06/15 00:00:00,12:00-12:30,24,214,Lör,06/06/15 00:00:00,2015,V,2,12:00-12:30,Sthlm-2015V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2015 i Stockholm
215,06/05/15 00:00:00,12:00-20:00,48,215,Fre,06/05/15 00:00:00,2015,V,1,12:00-20:00,Sthlm-2015V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2015 i Stockholm
216,06/04/15 00:00:00,12:00-20:00,72,216,Tors,06/04/15 00:00:00,2015,V,1,12:00-20:00,Sthlm-2015V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2015 i Stockholm
219,09/05/15 00:00:00,05:00-06:00,12,219,Lör,09/05/15 00:00:00,2015,H,8,05:00-06:00,Sthlm-2015H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2015 i Stockholm
220,09/04/15 00:00:00,16:00-16:30,24,220,Fre,09/04/15 00:00:00,2015,H,6,16:00-16:30,Sthlm-2015H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2015 i Stockholm
220,09/05/15 00:00:00,12:00-12:30,24,220,Fre,09/04/15 00:00:00,2015,H,6,16:00-16:30,Sthlm-2015H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2015 i Stockholm
221,09/03/15 00:00:00,12:00-16:30,48,221,Tors,09/03/15 00:00:00,2015,H,5,12:00-16:30,Sthlm-2015H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2015 i Stockholm
222,09/03/15 00:00:00,12:00-16:30,48,222,Ons,09/02/15 00:00:00,2015,H,5,12:00-16:30,Sthlm-2015H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2015 i Stockholm
225,09/06/15 00:00:00,07:00-07:30,12,225,Sön,09/06/15 00:00:00,2015,H,3,07:00-07:30,Sthlm-2015H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2015 i Stockholm
